Customer,Purchase Date,Product
Customer 19,2022-01-18,Item B
Customer 7,2022-05-12,Item A
Customer 49,2022-01-26,Item B
Customer 13,2022-04-14,Item E
Customer 99,2022-05-13,Item B
Customer 25,2022-01-26,Item B
Customer 37,2022-04-05,Item A
Customer 26,2022-05-31,Item C
Customer 85,2022-05-18,Item C
Customer 38,2022-04-15,Item A
Customer 61,2022-05-10,Item C
Customer 82,2022-01-22,Item A
Customer 8,2022-03-18,Item A
Customer 55,2022-05-13,Item D
Customer 35,2022-01-02,Item C
Customer 1,2022-04-03,Item B
Customer 76,2022-04-10,Item E
Customer 100,2022-04-15,Item E
Customer 47,2022-04-21,Item C
Customer 39,2022-01-16,Item E
Customer 77,2022-06-02,Item B
Customer 4,2022-04-16,Item E
Customer 76,2022-06-12,Item D
Customer 88,2022-03-28,Item E
Customer 80,2022-02-26,Item E
Customer 96,2022-03-29,Item D
Customer 24,2022-05-29,Item C
Customer 63,2022-01-02,Item C
Customer 4,2022-06-29,Item A
Customer 2,2022-03-02,Item A
Customer 63,2022-06-19,Item B
Customer 60,2022-05-03,Item D
Customer 37,2022-02-18,Item D
Customer 28,2022-01-09,Item A
Customer 36,2022-04-05,Item B
Customer 10,2022-06-03,Item D
Customer 21,2022-03-15,Item B
Customer 77,2022-03-10,Item E
Customer 55,2022-01-14,Item D
Customer 20,2022-04-04,Item A
Customer 90,2022-02-03,Item A
Customer 95,2022-04-06,Item E
Customer 22,2022-05-08,Item C
Customer 11,2022-01-16,Item B
Customer 25,2022-03-08,Item B
Customer 34,2022-04-07,Item B
Customer 84,2022-03-21,Item A
Customer 37,2022-04-21,Item C
Customer 67,2022-01-02,Item C
Customer 6,2022-03-06,Item D
Customer 20,2022-06-24,Item D
Customer 87,2022-03-24,Item B
Customer 74,2022-03-24,Item E
Customer 79,2022-06-13,Item A
Customer 85,2022-06-17,Item B
Customer 75,2022-04-01,Item B
Customer 31,2022-03-02,Item B
Customer 10,2022-06-29,Item D
Customer 24,2022-05-13,Item D
Customer 8,2022-03-21,Item C
Customer 17,2022-05-28,Item C
Customer 47,2022-06-06,Item C
Customer 66,2022-06-30,Item C
Customer 34,2022-03-25,Item D
Customer 12,2022-05-07,Item D
Customer 7,2022-05-03,Item E
Customer 39,2022-06-25,Item E
Customer 12,2022-03-18,Item C
Customer 64,2022-04-30,Item C
Customer 44,2022-03-12,Item C
Customer 39,2022-05-17,Item E
Customer 50,2022-05-28,Item B
Customer 3,2022-05-09,Item C
Customer 85,2022-01-01,Item A
Customer 75,2022-04-19,Item C
Customer 40,2022-03-27,Item B
Customer 86,2022-05-20,Item E
Customer 63,2022-03-06,Item C
Customer 90,2022-04-13,Item B
Customer 68,2022-06-04,Item A
Customer 22,2022-02-20,Item E
Customer 6,2022-02-06,Item A
Customer 55,2022-01-16,Item D
Customer 31,2022-02-11,Item C
Customer 59,2022-03-25,Item D
Customer 5,2022-01-03,Item B
Customer 42,2022-02-23,Item A
Customer 71,2022-06-30,Item C
Customer 76,2022-01-14,Item E
Customer 10,2022-02-24,Item C
Customer 73,2022-03-01,Item E
Customer 2,2022-06-30,Item D
Customer 92,2022-01-03,Item C
Customer 20,2022-02-26,Item C
Customer 62,2022-06-04,Item E
Customer 28,2022-03-13,Item C
Customer 60,2022-05-12,Item B
Customer 18,2022-06-28,Item B
Customer 63,2022-01-22,Item B
Customer 23,2022-04-06,Item D
Customer 34,2022-06-01,Item C
Customer 20,2022-05-19,Item C
Customer 11,2022-06-09,Item A
Customer 28,2022-01-10,Item B
Customer 30,2022-06-17,Item D
Customer 70,2022-05-11,Item C
Customer 93,2022-06-27,Item D
Customer 37,2022-06-25,Item D
Customer 33,2022-05-29,Item A
Customer 32,2022-03-11,Item B
Customer 85,2022-01-04,Item C
Customer 65,2022-05-12,Item A
Customer 43,2022-04-05,Item E
Customer 31,2022-01-28,Item A
Customer 73,2022-06-28,Item A
Customer 98,2022-02-12,Item E
Customer 51,2022-05-04,Item E
Customer 75,2022-06-28,Item B
Customer 21,2022-06-14,Item B
Customer 96,2022-02-13,Item B
Customer 24,2022-01-29,Item B
Customer 38,2022-05-09,Item A
Customer 27,2022-02-17,Item E
Customer 14,2022-03-16,Item A
Customer 81,2022-04-19,Item C
Customer 20,2022-06-05,Item A
Customer 72,2022-01-07,Item D
Customer 9,2022-01-01,Item B
Customer 18,2022-01-24,Item B
Customer 18,2022-06-05,Item D
Customer 81,2022-03-18,Item A
Customer 9,2022-02-11,Item D
Customer 49,2022-01-24,Item E
Customer 22,2022-05-19,Item A
Customer 78,2022-01-07,Item E
Customer 92,2022-05-12,Item C
Customer 89,2022-02-04,Item B
Customer 72,2022-03-12,Item E
Customer 78,2022-01-29,Item D
Customer 41,2022-05-30,Item B
Customer 22,2022-03-28,Item B
Customer 46,2022-06-11,Item A
Customer 83,2022-06-18,Item B
Customer 10,2022-06-30,Item E
Customer 68,2022-01-05,Item C
Customer 36,2022-01-13,Item A
Customer 31,2022-01-20,Item A
Customer 95,2022-01-19,Item C
Customer 69,2022-05-09,Item C
Customer 46,2022-06-01,Item D
Customer 26,2022-03-10,Item C
Customer 46,2022-03-24,Item A
Customer 60,2022-06-08,Item B
Customer 77,2022-02-24,Item D
Customer 96,2022-03-26,Item E
Customer 47,2022-06-06,Item D
Customer 85,2022-04-07,Item A
Customer 67,2022-06-01,Item B
Customer 9,2022-05-02,Item D
Customer 74,2022-06-10,Item D
Customer 65,2022-01-04,Item D
Customer 9,2022-02-22,Item E
Customer 63,2022-01-05,Item A
Customer 3,2022-06-03,Item B
Customer 87,2022-06-16,Item A
Customer 52,2022-05-25,Item D
Customer 32,2022-06-06,Item D
Customer 99,2022-01-16,Item A
Customer 41,2022-01-18,Item A
Customer 57,2022-05-31,Item A
Customer 77,2022-05-01,Item C
Customer 69,2022-02-16,Item B
Customer 80,2022-03-20,Item B
Customer 62,2022-04-10,Item E
Customer 84,2022-06-25,Item E
Customer 3,2022-06-20,Item B
Customer 87,2022-01-26,Item A
Customer 60,2022-02-20,Item A
Customer 48,2022-03-24,Item C
Customer 66,2022-01-19,Item C
Customer 67,2022-01-21,Item D
Customer 63,2022-05-11,Item A
Customer 68,2022-05-22,Item A
Customer 81,2022-06-05,Item E
Customer 46,2022-02-02,Item E
Customer 40,2022-05-25,Item B
Customer 91,2022-05-28,Item A
Customer 23,2022-03-06,Item A
Customer 24,2022-01-13,Item A
Customer 6,2022-03-10,Item D
Customer 69,2022-03-23,Item A
Customer 96,2022-04-23,Item C
Customer 56,2022-01-26,Item A
Customer 33,2022-06-21,Item D
Customer 91,2022-04-18,Item D
Customer 55,2022-05-03,Item B
Customer 74,2022-01-10,Item E
Customer 45,2022-05-03,Item A
Customer 44,2022-05-25,Item E
Customer 65,2022-05-06,Item B
Customer 51,2022-02-23,Item D
Customer 67,2022-05-06,Item E
Customer 64,2022-02-07,Item D
Customer 52,2022-06-02,Item E
Customer 35,2022-03-13,Item B
Customer 6,2022-06-09,Item D
Customer 73,2022-04-10,Item B
Customer 6,2022-02-08,Item D
Customer 38,2022-04-29,Item C
Customer 53,2022-05-16,Item A
Customer 61,2022-03-23,Item A
Customer 28,2022-06-28,Item E
Customer 94,2022-03-31,Item D
Customer 54,2022-05-18,Item B
Customer 73,2022-06-13,Item B
Customer 6,2022-02-17,Item E
Customer 67,2022-02-04,Item E
Customer 3,2022-03-08,Item B
Customer 91,2022-01-30,Item B
Customer 61,2022-01-02,Item D
Customer 47,2022-05-29,Item D
Customer 36,2022-03-18,Item E
Customer 90,2022-04-04,Item A
Customer 42,2022-04-11,Item C
Customer 27,2022-05-21,Item D
Customer 78,2022-05-17,Item D
Customer 33,2022-06-03,Item C
Customer 19,2022-05-14,Item A
Customer 10,2022-05-13,Item C
Customer 88,2022-03-07,Item C
Customer 24,2022-06-12,Item A
Customer 66,2022-02-20,Item B
Customer 12,2022-01-14,Item E
Customer 92,2022-06-26,Item D
Customer 27,2022-03-12,Item E
Customer 7,2022-02-21,Item C
Customer 26,2022-03-14,Item A
Customer 42,2022-05-30,Item A
Customer 61,2022-01-04,Item B
Customer 30,2022-03-29,Item B
Customer 30,2022-01-30,Item E
Customer 59,2022-06-03,Item D
Customer 32,2022-03-18,Item B
Customer 51,2022-05-30,Item E
Customer 36,2022-06-01,Item D
Customer 84,2022-04-20,Item D
Customer 6,2022-01-14,Item E
Customer 90,2022-04-13,Item E
Customer 38,2022-01-21,Item C
Customer 100,2022-05-20,Item A
Customer 37,2022-06-12,Item B
Customer 87,2022-01-31,Item B
Customer 41,2022-01-18,Item B
Customer 76,2022-03-22,Item D
Customer 87,2022-04-27,Item A
Customer 63,2022-05-02,Item D
Customer 48,2022-04-04,Item C
Customer 7,2022-03-08,Item A
Customer 31,2022-04-28,Item D
Customer 59,2022-05-05,Item B
Customer 82,2022-04-26,Item B
Customer 62,2022-04-24,Item D
Customer 65,2022-04-30,Item D
Customer 69,2022-02-05,Item A
Customer 53,2022-05-26,Item C
Customer 78,2022-06-10,Item D
Customer 24,2022-03-25,Item C
Customer 73,2022-06-25,Item A
Customer 100,2022-01-20,Item A
Customer 48,2022-06-17,Item D
Customer 4,2022-02-23,Item E
Customer 20,2022-01-26,Item C
Customer 75,2022-06-18,Item E
Customer 19,2022-02-07,Item E
Customer 41,2022-03-24,Item C
Customer 49,2022-03-21,Item A
Customer 50,2022-02-25,Item E
Customer 90,2022-04-21,Item E
Customer 56,2022-03-30,Item B
Customer 99,2022-06-08,Item A
Customer 39,2022-03-14,Item B
Customer 54,2022-02-08,Item C
Customer 62,2022-02-13,Item B
Customer 91,2022-06-13,Item B
Customer 14,2022-06-21,Item E
Customer 56,2022-01-03,Item E
Customer 57,2022-02-10,Item B
Customer 51,2022-03-12,Item C
Customer 84,2022-06-28,Item C
Customer 33,2022-03-13,Item A
Customer 29,2022-04-02,Item E
Customer 63,2022-03-18,Item D
Customer 12,2022-04-19,Item D
Customer 100,2022-06-24,Item C
Customer 66,2022-02-24,Item A
Customer 23,2022-06-10,Item D
Customer 73,2022-06-10,Item B
Customer 14,2022-03-23,Item C
Customer 49,2022-01-17,Item A
Customer 82,2022-04-23,Item B
Customer 75,2022-01-31,Item B
Customer 7,2022-02-02,Item E
Customer 64,2022-01-20,Item C
Customer 24,2022-01-09,Item B
Customer 23,2022-05-21,Item D
Customer 67,2022-01-19,Item D
Customer 6,2022-06-05,Item B
Customer 27,2022-04-18,Item E
Customer 18,2022-05-25,Item D
Customer 49,2022-06-08,Item E
Customer 59,2022-05-06,Item A
Customer 64,2022-02-16,Item A
Customer 25,2022-04-24,Item C
Customer 89,2022-01-21,Item A
Customer 10,2022-02-14,Item C
Customer 60,2022-01-13,Item E
Customer 88,2022-01-31,Item A
Customer 69,2022-04-09,Item D
Customer 70,2022-06-14,Item C
Customer 80,2022-03-12,Item B
Customer 37,2022-06-24,Item D
Customer 77,2022-04-07,Item A
Customer 16,2022-02-03,Item C
Customer 28,2022-02-08,Item C
Customer 33,2022-02-24,Item D
Customer 62,2022-03-12,Item D
Customer 32,2022-01-03,Item D
Customer 51,2022-02-23,Item B
Customer 27,2022-04-23,Item B
Customer 43,2022-04-03,Item C
Customer 18,2022-04-15,Item B
Customer 62,2022-03-04,Item B
Customer 67,2022-02-08,Item B
Customer 66,2022-03-10,Item D
Customer 79,2022-06-05,Item A
Customer 90,2022-02-20,Item D
Customer 47,2022-06-13,Item B
Customer 63,2022-06-10,Item A
Customer 75,2022-04-01,Item C
Customer 58,2022-04-25,Item D
Customer 90,2022-06-25,Item D
Customer 72,2022-03-20,Item D
Customer 12,2022-02-21,Item E
Customer 58,2022-03-06,Item E
Customer 68,2022-01-28,Item D
Customer 24,2022-01-22,Item B
Customer 75,2022-03-05,Item B
Customer 59,2022-06-04,Item A
Customer 17,2022-04-18,Item D
Customer 12,2022-03-22,Item B
Customer 2,2022-06-13,Item A
Customer 33,2022-05-23,Item C
Customer 71,2022-04-27,Item A
Customer 78,2022-05-30,Item D
Customer 79,2022-06-07,Item A
Customer 89,2022-05-30,Item A
Customer 9,2022-05-26,Item B
Customer 57,2022-05-30,Item B
Customer 66,2022-06-26,Item B
Customer 26,2022-04-05,Item D
Customer 28,2022-02-04,Item B
Customer 41,2022-05-06,Item C
Customer 75,2022-03-15,Item E
Customer 37,2022-06-15,Item C
Customer 60,2022-03-21,Item D
Customer 73,2022-05-12,Item E
Customer 79,2022-02-16,Item D
Customer 62,2022-05-04,Item D
Customer 3,2022-02-26,Item D
Customer 82,2022-02-01,Item E
Customer 3,2022-03-19,Item E
Customer 19,2022-05-11,Item D
Customer 65,2022-03-03,Item E
Customer 65,2022-01-19,Item B
Customer 61,2022-05-10,Item C
Customer 77,2022-03-10,Item C
Customer 37,2022-04-28,Item B
Customer 26,2022-05-03,Item E
Customer 16,2022-04-05,Item A
Customer 26,2022-06-26,Item C
Customer 4,2022-06-08,Item D
Customer 2,2022-03-24,Item B
Customer 37,2022-05-17,Item A
Customer 81,2022-03-15,Item A
Customer 72,2022-05-14,Item E
Customer 15,2022-03-15,Item C
Customer 87,2022-05-21,Item D
Customer 25,2022-04-14,Item D
Customer 5,2022-04-26,Item D
Customer 94,2022-01-10,Item D
Customer 38,2022-02-16,Item D
Customer 46,2022-03-19,Item D
Customer 71,2022-02-24,Item C
Customer 65,2022-02-12,Item B
Customer 100,2022-03-07,Item D
Customer 12,2022-03-06,Item C
Customer 87,2022-01-16,Item A
Customer 26,2022-06-10,Item D
Customer 71,2022-06-01,Item C
Customer 84,2022-05-08,Item C
Customer 3,2022-02-28,Item B
Customer 18,2022-05-28,Item B
Customer 7,2022-02-02,Item C
Customer 3,2022-05-07,Item A
Customer 38,2022-04-15,Item A
Customer 24,2022-01-10,Item A
Customer 91,2022-06-23,Item B
Customer 31,2022-06-27,Item A
Customer 35,2022-05-11,Item A
Customer 63,2022-02-16,Item E
Customer 17,2022-01-31,Item B
Customer 71,2022-02-26,Item A
Customer 4,2022-05-21,Item E
Customer 24,2022-02-16,Item E
Customer 7,2022-05-15,Item B
Customer 73,2022-05-15,Item C
Customer 82,2022-06-06,Item D
Customer 21,2022-04-08,Item E
Customer 1,2022-01-21,Item E
Customer 96,2022-03-26,Item C
Customer 19,2022-06-14,Item E
Customer 31,2022-04-18,Item D
Customer 82,2022-01-14,Item D
Customer 10,2022-01-01,Item D
Customer 63,2022-01-18,Item C
Customer 59,2022-05-18,Item B
Customer 11,2022-03-10,Item D
Customer 25,2022-01-18,Item A
Customer 45,2022-05-28,Item B
Customer 31,2022-04-18,Item C
Customer 93,2022-04-04,Item C
Customer 31,2022-06-12,Item B
Customer 41,2022-02-24,Item C
Customer 97,2022-02-25,Item A
Customer 70,2022-03-27,Item D
Customer 71,2022-04-13,Item C
Customer 45,2022-06-04,Item A
Customer 90,2022-05-23,Item B
Customer 1,2022-04-09,Item A
Customer 80,2022-04-30,Item E
Customer 13,2022-05-13,Item B
Customer 88,2022-01-17,Item B
Customer 74,2022-03-11,Item B
Customer 80,2022-02-23,Item C
Customer 80,2022-06-04,Item D
Customer 6,2022-05-18,Item A
Customer 53,2022-02-06,Item C
Customer 20,2022-06-01,Item D
Customer 45,2022-06-22,Item D
Customer 79,2022-03-22,Item B
Customer 12,2022-06-18,Item C
Customer 15,2022-06-04,Item C
Customer 64,2022-04-29,Item B
Customer 80,2022-04-04,Item B
Customer 41,2022-05-03,Item E
Customer 17,2022-01-28,Item C
Customer 24,2022-06-27,Item B
Customer 82,2022-03-10,Item E
Customer 51,2022-06-07,Item E
Customer 53,2022-01-03,Item A
Customer 57,2022-04-06,Item B
Customer 77,2022-04-02,Item B
Customer 73,2022-01-09,Item C
Customer 7,2022-05-19,Item D
Customer 49,2022-06-18,Item C
Customer 5,2022-03-06,Item E
Customer 10,2022-03-18,Item A
Customer 62,2022-05-10,Item E
Customer 54,2022-05-26,Item C
Customer 89,2022-05-16,Item D
Customer 96,2022-01-18,Item D
Customer 11,2022-06-26,Item E
Customer 61,2022-06-25,Item C
Customer 72,2022-01-06,Item A
Customer 74,2022-04-24,Item C
Customer 1,2022-01-02,Item E
Customer 70,2022-06-19,Item D
Customer 98,2022-05-30,Item C
Customer 16,2022-03-04,Item D
Customer 28,2022-06-19,Item E
Customer 98,2022-05-12,Item C
Customer 34,2022-02-13,Item C
Customer 93,2022-02-25,Item C
Customer 96,2022-03-09,Item C
Customer 65,2022-02-13,Item B
Customer 68,2022-06-23,Item D
Customer 99,2022-01-26,Item B
Customer 64,2022-05-19,Item E
Customer 58,2022-02-05,Item D
Customer 74,2022-06-06,Item B
Customer 57,2022-04-17,Item B
Customer 36,2022-02-04,Item D
Customer 65,2022-03-04,Item B
Customer 29,2022-02-07,Item D
Customer 69,2022-03-08,Item A
Customer 6,2022-05-08,Item A
Customer 32,2022-02-05,Item D
Customer 56,2022-05-11,Item B
Customer 67,2022-04-02,Item B
Customer 80,2022-05-11,Item E
Customer 90,2022-05-18,Item E
Customer 32,2022-01-20,Item C
Customer 30,2022-03-30,Item E
Customer 41,2022-04-27,Item E
Customer 92,2022-02-24,Item A
Customer 39,2022-04-05,Item A
Customer 18,2022-06-03,Item A
Customer 41,2022-02-12,Item A
Customer 50,2022-06-02,Item E
Customer 40,2022-01-08,Item A
Customer 47,2022-03-11,Item C
Customer 32,2022-06-13,Item C
Customer 54,2022-05-01,Item A
Customer 31,2022-03-10,Item C
Customer 56,2022-01-01,Item C
Customer 86,2022-02-25,Item E
Customer 33,2022-04-21,Item E
Customer 82,2022-04-08,Item A
Customer 34,2022-05-07,Item E
Customer 76,2022-03-31,Item B
Customer 47,2022-04-06,Item E
Customer 82,2022-05-28,Item B
Customer 67,2022-03-20,Item E
Customer 42,2022-03-09,Item B
Customer 30,2022-05-17,Item D
Customer 31,2022-03-24,Item A
Customer 61,2022-05-17,Item E
Customer 4,2022-05-23,Item B
Customer 43,2022-03-22,Item D
Customer 63,2022-01-28,Item E
Customer 68,2022-04-13,Item D
Customer 97,2022-06-27,Item A
Customer 92,2022-03-19,Item E
Customer 27,2022-01-08,Item B
Customer 16,2022-05-15,Item C
Customer 67,2022-05-05,Item E
Customer 49,2022-04-05,Item D
Customer 50,2022-05-30,Item B
Customer 53,2022-06-28,Item B
Customer 94,2022-05-08,Item D
Customer 31,2022-04-28,Item C
Customer 77,2022-03-14,Item B
Customer 29,2022-04-29,Item B
Customer 11,2022-06-30,Item A
Customer 36,2022-05-06,Item D
Customer 85,2022-02-07,Item C
Customer 33,2022-01-28,Item B
Customer 30,2022-03-03,Item B
Customer 60,2022-01-14,Item A
Customer 96,2022-01-15,Item B
Customer 87,2022-05-01,Item E
Customer 95,2022-05-11,Item B
Customer 38,2022-06-16,Item A
Customer 63,2022-03-25,Item D
Customer 56,2022-04-24,Item A
Customer 88,2022-04-14,Item B
Customer 83,2022-01-09,Item D
Customer 74,2022-03-27,Item E
Customer 36,2022-02-09,Item A
Customer 60,2022-05-31,Item E
Customer 63,2022-03-14,Item B
Customer 71,2022-05-06,Item C
Customer 27,2022-03-18,Item A
Customer 18,2022-05-20,Item C
Customer 93,2022-04-26,Item A
Customer 10,2022-04-04,Item A
Customer 60,2022-06-23,Item C
Customer 1,2022-03-23,Item C
Customer 53,2022-06-18,Item C
Customer 79,2022-02-12,Item A
Customer 52,2022-06-07,Item C
Customer 71,2022-01-30,Item A
Customer 52,2022-01-31,Item B
Customer 37,2022-03-17,Item C
Customer 73,2022-03-09,Item D
Customer 56,2022-05-07,Item E
Customer 50,2022-04-29,Item E
Customer 89,2022-02-04,Item E
Customer 43,2022-05-23,Item B
Customer 57,2022-05-20,Item B
Customer 67,2022-04-13,Item C
Customer 16,2022-06-17,Item B
Customer 29,2022-02-19,Item C
Customer 80,2022-01-18,Item E
Customer 2,2022-04-30,Item E
Customer 76,2022-05-27,Item A
Customer 42,2022-05-11,Item D
Customer 9,2022-03-23,Item B
Customer 38,2022-04-22,Item B
Customer 66,2022-03-20,Item B
Customer 86,2022-02-26,Item B
Customer 27,2022-01-25,Item B
Customer 57,2022-02-08,Item E
Customer 77,2022-06-11,Item C
Customer 58,2022-03-09,Item B
Customer 82,2022-06-02,Item B
Customer 2,2022-04-11,Item C
Customer 3,2022-05-28,Item D
Customer 77,2022-04-26,Item A
Customer 24,2022-01-29,Item D
Customer 60,2022-06-05,Item D
Customer 67,2022-05-30,Item A
Customer 28,2022-04-27,Item A
Customer 27,2022-02-07,Item A
Customer 60,2022-04-07,Item E
Customer 72,2022-03-03,Item D
Customer 35,2022-04-16,Item D
Customer 63,2022-02-20,Item C
Customer 92,2022-01-21,Item D
Customer 93,2022-02-07,Item A
Customer 29,2022-06-06,Item A
Customer 94,2022-04-08,Item B
Customer 97,2022-06-30,Item A
Customer 47,2022-03-17,Item E
Customer 26,2022-06-05,Item C
Customer 41,2022-01-29,Item A
Customer 26,2022-01-14,Item D
Customer 10,2022-05-28,Item B
Customer 77,2022-06-23,Item B
Customer 41,2022-04-20,Item A
Customer 97,2022-01-27,Item C
Customer 89,2022-02-19,Item C
Customer 51,2022-06-12,Item E
Customer 46,2022-05-25,Item B
Customer 4,2022-01-06,Item C
Customer 79,2022-02-03,Item E
Customer 63,2022-01-21,Item B
Customer 4,2022-05-29,Item D
Customer 5,2022-05-30,Item B
Customer 99,2022-04-09,Item D
Customer 80,2022-03-06,Item D
Customer 44,2022-05-27,Item D
Customer 85,2022-02-06,Item B
Customer 77,2022-06-17,Item B
Customer 3,2022-02-19,Item A
Customer 25,2022-01-02,Item A
Customer 88,2022-05-29,Item D
Customer 10,2022-02-28,Item E
Customer 44,2022-03-03,Item D
Customer 29,2022-04-16,Item A
Customer 62,2022-03-04,Item A
Customer 33,2022-04-26,Item E
Customer 5,2022-06-21,Item D
Customer 71,2022-04-08,Item A
Customer 97,2022-03-16,Item B
Customer 80,2022-01-24,Item A
Customer 86,2022-01-10,Item A
Customer 1,2022-03-30,Item A
Customer 1,2022-01-19,Item D
Customer 66,2022-01-04,Item D
Customer 3,2022-04-05,Item E
Customer 70,2022-03-22,Item C
Customer 15,2022-05-02,Item E
Customer 48,2022-06-14,Item A
Customer 82,2022-01-03,Item B
Customer 43,2022-02-09,Item A
Customer 56,2022-05-04,Item B
Customer 36,2022-05-03,Item C
Customer 66,2022-06-05,Item C
Customer 60,2022-05-28,Item A
Customer 29,2022-04-19,Item A
Customer 98,2022-01-05,Item C
Customer 96,2022-04-22,Item A
Customer 59,2022-05-23,Item E
Customer 82,2022-01-13,Item E
Customer 86,2022-06-20,Item E
Customer 18,2022-01-31,Item B
Customer 15,2022-02-13,Item C
Customer 35,2022-06-10,Item C
Customer 39,2022-06-24,Item B
Customer 44,2022-05-28,Item B
Customer 8,2022-06-24,Item C
Customer 13,2022-05-02,Item B
Customer 11,2022-05-26,Item A
Customer 58,2022-01-07,Item D
Customer 33,2022-05-08,Item C
Customer 15,2022-01-11,Item C
Customer 59,2022-01-11,Item D
Customer 33,2022-05-10,Item D
Customer 23,2022-03-21,Item B
Customer 29,2022-06-05,Item A
Customer 41,2022-01-13,Item D
Customer 92,2022-03-16,Item C
Customer 56,2022-01-09,Item D
Customer 29,2022-01-21,Item B
Customer 40,2022-02-03,Item A
Customer 66,2022-01-15,Item B
Customer 62,2022-04-21,Item E
Customer 40,2022-06-19,Item E
Customer 62,2022-04-14,Item B
Customer 46,2022-04-03,Item E
Customer 45,2022-05-26,Item E
Customer 51,2022-04-03,Item E
Customer 25,2022-05-09,Item B
Customer 28,2022-03-10,Item C
Customer 72,2022-03-03,Item D
Customer 29,2022-05-28,Item B
Customer 52,2022-04-29,Item A
Customer 6,2022-02-09,Item C
Customer 8,2022-02-23,Item E
Customer 15,2022-06-19,Item D
Customer 7,2022-04-20,Item C
Customer 87,2022-05-29,Item A
Customer 61,2022-04-15,Item B
Customer 88,2022-05-15,Item B
Customer 76,2022-05-09,Item D
Customer 15,2022-03-24,Item C
Customer 62,2022-03-27,Item E
Customer 77,2022-04-08,Item E
Customer 7,2022-05-15,Item B
Customer 25,2022-04-29,Item B
Customer 42,2022-06-18,Item E
Customer 33,2022-02-21,Item C
Customer 57,2022-04-13,Item A
Customer 32,2022-06-16,Item E
Customer 67,2022-06-23,Item A
Customer 20,2022-02-08,Item C
Customer 69,2022-04-09,Item B
Customer 30,2022-06-21,Item A
Customer 85,2022-05-07,Item D
Customer 28,2022-06-13,Item C
Customer 61,2022-06-23,Item E
Customer 61,2022-05-01,Item A
Customer 91,2022-05-23,Item A
Customer 41,2022-06-29,Item C
Customer 10,2022-03-27,Item C
Customer 18,2022-02-18,Item B
Customer 17,2022-02-14,Item E
Customer 46,2022-01-10,Item C
Customer 49,2022-01-30,Item C
Customer 7,2022-04-07,Item D
Customer 15,2022-03-12,Item B
Customer 94,2022-01-02,Item D
Customer 70,2022-05-06,Item B
Customer 93,2022-03-07,Item C
Customer 68,2022-03-05,Item D
Customer 8,2022-05-09,Item D
Customer 23,2022-01-17,Item D
Customer 83,2022-01-11,Item C
Customer 90,2022-05-29,Item B
Customer 29,2022-03-13,Item A
Customer 96,2022-02-24,Item E
Customer 47,2022-02-01,Item E
Customer 22,2022-05-27,Item A
Customer 20,2022-02-27,Item A
Customer 65,2022-03-19,Item E
Customer 7,2022-02-02,Item B
Customer 73,2022-02-15,Item B
Customer 31,2022-01-12,Item D
Customer 71,2022-03-02,Item E
Customer 31,2022-04-02,Item C
Customer 33,2022-01-22,Item E
Customer 99,2022-03-07,Item B
Customer 28,2022-03-18,Item B
Customer 24,2022-01-10,Item D
Customer 82,2022-03-01,Item D
Customer 64,2022-06-16,Item B
Customer 32,2022-03-18,Item A
Customer 54,2022-05-10,Item E
Customer 34,2022-03-01,Item B
Customer 15,2022-02-22,Item E
Customer 37,2022-01-09,Item C
Customer 76,2022-02-19,Item B
Customer 6,2022-03-11,Item C
Customer 28,2022-02-05,Item C
Customer 79,2022-04-19,Item E
Customer 1,2022-03-11,Item A
Customer 43,2022-03-08,Item C
Customer 44,2022-01-13,Item D
Customer 45,2022-06-23,Item D
Customer 49,2022-05-11,Item A
Customer 2,2022-04-16,Item A
Customer 58,2022-02-19,Item A
Customer 13,2022-05-22,Item D
Customer 44,2022-06-18,Item D
Customer 34,2022-03-27,Item A
Customer 46,2022-04-09,Item A
Customer 76,2022-02-09,Item E
Customer 91,2022-04-02,Item D
Customer 100,2022-03-08,Item B
Customer 26,2022-04-13,Item A
Customer 49,2022-01-07,Item A
Customer 70,2022-01-01,Item D
Customer 7,2022-02-28,Item C
Customer 65,2022-03-09,Item A
Customer 63,2022-03-17,Item B
Customer 17,2022-01-30,Item C
Customer 11,2022-06-23,Item D
Customer 7,2022-04-01,Item A
Customer 75,2022-04-15,Item A
Customer 14,2022-04-26,Item C
Customer 35,2022-05-30,Item E
Customer 32,2022-04-15,Item A
Customer 28,2022-01-19,Item B
Customer 2,2022-02-05,Item E
Customer 19,2022-04-30,Item D
Customer 90,2022-02-09,Item C
Customer 65,2022-03-22,Item D
Customer 17,2022-05-22,Item A
Customer 68,2022-01-08,Item E
Customer 93,2022-01-10,Item B
Customer 31,2022-06-11,Item C
Customer 39,2022-02-06,Item A
Customer 75,2022-01-09,Item D
Customer 24,2022-03-18,Item D
Customer 98,2022-01-06,Item B
Customer 72,2022-05-28,Item E
Customer 24,2022-03-27,Item D
Customer 71,2022-04-09,Item D
Customer 70,2022-06-17,Item B
Customer 62,2022-05-27,Item E
Customer 57,2022-04-22,Item A
Customer 99,2022-02-24,Item B
Customer 19,2022-06-02,Item B
Customer 39,2022-05-15,Item E
Customer 92,2022-04-21,Item A
Customer 6,2022-03-21,Item B
Customer 41,2022-04-02,Item B
Customer 30,2022-02-21,Item A
Customer 68,2022-03-26,Item E
Customer 64,2022-05-04,Item D
Customer 57,2022-06-07,Item E
